id,node_type,leiden_comm
6b28fcf2ce5e0558550389b14d3075d23e54ff29,reference,17
e90691971ea4042e656ed175d0330da6a3818632,reference,33
1527aae5ed83e33dcf2cbafd353625128862b981,reference,5
0d6ed66982727b8209b583965742deae8e926cb2,reference,5
24160840d800329abc47960f4c015c10bfacde6d,reference,11
004fbcb0f3248afcbc158d97d3b02f0ea42e137a,reference,20
c213af6582c0d518a6e8e14217611c733eeb1ef1,reference,24
e965e93e76a9e6c4e4863d145b5c007b540d575d,reference,7
47030369e97cc44d4b2e3cf1be85da0fd134904a,reference,16
767ef8e81bba3a470f7c220b1d23fa9dc63c8590,reference,14
997089ee7c067081f20857e6f56ae6970b5d532a,reference,19
arXiv:2502.19573,reference,24
411b16add23976ffcdf6422f932453f6ebcca119,reference,14
8043cbfed66c98d2255ea79254de620837478099,reference,32
ca261cb681b082e90ca6c7a9d325b4265ed1dc28,reference,5
81051b830a4f5606106765902a51ba281c9230f9,reference,11
785eba2987f71cc34560ba1dcd3a5ffc133322e1,reference,32
3ac40b06b16a1a3b427d2e16f7e1dba2aafe3f94,reference,15
7ca4abace88db259faed67686ed7bba02b46eb82,reference,0
47ddeef93db147163f15b34f192fbb6d51cc4c47,reference,18
fc6a2f7478f68adefd69e2071f27e38aa1647f2f,reference,3
7cbc7aa08b96de770d9ce5c90d01e75e9df2caee,reference,24
7bf902fb94a577d15293ac4f90d8967163850fb1,reference,3
58bd0afc8a1b98e16a67ebda436e60c6f6410f56,reference,0
49a049dc85e2380dde80501a984878341dd8efdf,reference,13
8bd45f64e3c7a878289f04749df39cad38a87583,reference,0
13103014e997dd6273e2bc3661353d09165cf90c,reference,17
844bb298d49ef4a07b5d4929dfdfd170f6a1d5f5,reference,3
